SPID,Date,Claim Outcome,Promoter Score,Promoter Reason,Other,Data Supplier,Comments
SNP015033999,"Monday, 27 July 2020",Settled,5,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP015093333,"Sunday, 13 September 2020",Settled,5,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP01521002612,"Sunday, 27 September 2020",Declined,0,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP0152490703,"Monday, 19 April 2021",Settled,9,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP01570071673,"Thursday, 14 May 2020",Settled,5,COT,,4, 
SNP01612855150,"Wednesday, 19 August 2020",Settled,9,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",3, 
SNP01629492900,"Wednesday, 6 January 2021",Settled,6,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP01672081863,"Sunday, 24 January 2021",Declined,3,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP017024143,"Thursday, 22 October 2020",Settled,5,COT,,4, 
SNP01716882618,"Thursday, 4 March 2021",Settled,9,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP0175612111,"Thursday, 8 April 2021",Declined,2,CPT,,3, 
SNP01832494221,"Thursday, 22 October 2020",Settled,5,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP0184247237,"Friday, 30 October 2020",Declined,1,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP01894555454,"Sunday, 25 October 2020",Declined,4,CPF,,4, 
SNP019001070,"Monday, 13 July 2020",Declined,3,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP01914417728,"Sunday, 3 January 2021",Declined,0,CPT,,4, 
SNP0192457215,"Tuesday, 12 May 2020",Declined,3,COT,,4, 
SNP0192458936,"Thursday, 11 March 2021",Settled,5,CPF,,4, 
SNP0199009816,"Saturday, 10 October 2020",Settled,9,CPF,,3, 
SNP0201831496,"Sunday, 2 August 2020",Settled,9,COT,,4, 
SNP020235218598,"Wednesday, 13 January 2021",Settled,5,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP021003872,"Wednesday, 18 November 2020",Settled,9,CPT,,3, 
SNP021028474,"Thursday, 25 February 2021",Settled,9,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP021037881,"Saturday, 9 January 2021",Settled,9,CPT,,4, 
SNP021259256401,"Thursday, 4 June 2020",Settled,7,CSE,,4, 
SNP022038548,"Sunday, 27 December 2020",Settled,10,CPF,,3, 
SNP022046498,"Wednesday, 12 August 2020",Declined,0,CPT,,3, 
SNP022067005,"Thursday, 23 April 2020",Settled,10,CSE,,3, 
SNP02243249843,"Tuesday, 1 September 2020",Settled,9,CSE,,3, 
SNP02252589920,"Tuesday, 28 July 2020",Declined,4,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP022768947,"Tuesday, 8 September 2020",Settled,7,CPT,,3, 
SNP023022312,"Monday, 25 May 2020",Declined,1,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP02350493174,"Tuesday, 9 March 2021",Declined,4,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP02384056905,"Monday, 7 September 2020",Settled,5,CSE,,4, 
SNP0242781328,"Tuesday, 12 January 2021",Declined,4,COT,,3, 
SNP02428813770,"Wednesday, 3 February 2021",Settled,4,CPF,,3, 
SNP025009398,"Tuesday, 2 June 2020",Settled,9,OOO,"Ultrices senectus aenean himenaeos pretium praesent lacinia suspendisse tristique, velit diam class eleifend nostra viverra volutpat, ut sed suscipit ac augue sollicitudin ad netus sed ullamcorper neque interdum donec auctor nostra himenaeos",3, 
SNP025162015223,"Wednesday, 17 February 2021",Declined,9,CPF,,4, 
SNP02518926839,"Friday, 26 June 2020",Settled,7,COT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP02521685644,"Sunday, 28 February 2021",Declined,0,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP026007499,"Monday, 19 April 2021",Settled,10,COT,,3, 
SNP026108082013,"Friday, 9 April 2021",Settled,9,CPF,,4, 
SNP0264964844,"Friday, 3 April 2020",Settled,6,CPF,,4, 
SNP027054515,"Sunday, 19 April 2020",Settled,9,CSE,,4, 
SNP027224025082,"Tuesday, 6 April 2021",Declined,4,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP028099464,"Monday, 28 September 2020",Declined,0,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP028216024902,"Tuesday, 22 September 2020",Settled,5,CSE,,3, 
SNP0283031988,"Thursday, 19 November 2020",Settled,9,CPT,,4, 
SNP0284519621,"Monday, 19 October 2020",Declined,0,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP02876855465,"Monday, 1 March 2021",Settled,7,CPF,,4, 
SNP029090608,"Sunday, 23 August 2020",Declined,4,CPT,,4, 
SNP02939231678,"Sunday, 10 May 2020",Settled,5,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP02997246416,"Thursday, 15 October 2020",Declined,1,CSE,,3, 
SNP030011810,"Sunday, 14 March 2021",Settled,9,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP03019215131,"Wednesday, 7 April 2021",Settled,6,CPT,,4, 
SNP03056060716,"Saturday, 5 December 2020",Settled,9,OOO,"Purus etiam habitant eu libero ultrices turpis fames neque orci lobortis litora faucibus eu, orci sagittis placerat orci quisque etiam arcu sapien vitae maecenas lobortis",4, 
SNP0309693857,"Sunday, 20 September 2020",Settled,9,CPT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP031036093,"Monday, 26 October 2020",Settled,10,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",4, 
SNP031043738,"Sunday, 1 November 2020",Declined,0,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP031189000474,"Saturday, 3 October 2020",Settled,6,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",4, 
SNP03132429338,"Sunday, 24 January 2021",Settled,9,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP03132434685,"Tuesday, 7 July 2020",Settled,9,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",4, 
SNP03217538961,"Wednesday, 26 August 2020",Declined,2,COT,,4, 
SNP03222439738,"Wednesday, 14 October 2020",Settled,5,CSE,,3, 
SNP032340297684,"Monday, 13 July 2020",Settled,10,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP034117612366,"Sunday, 28 June 2020",Settled,9,COT,,3, 
SNP034151298325,"Friday, 18 December 2020",Settled,9,OOO,"Purus etiam habitant eu libero ultrices turpis fames neque orci lobortis litora faucibus eu, orci sagittis placerat orci quisque etiam arcu sapien vitae maecenas lobortis",4, 
SNP03436074670,"Thursday, 25 March 2021",Settled,6,CSE,,4, 
SNP03440003817,"Sunday, 21 February 2021",Settled,5,CSE,,3, 
SNP035065425,"Thursday, 10 December 2020",Settled,6,CPF,,4, 
SNP035077517,"Monday, 17 August 2020",Declined,4,CSE,,3, 
SNP03510806078,"Tuesday, 10 November 2020",Declined,2,CPF,,3, 
SNP03516075217,"Saturday, 20 June 2020",Settled,7,CSE,,3, 
SNP0353204253,"Sunday, 28 June 2020",Settled,9,CPT,,3, 
SNP0357580910,"Wednesday, 12 August 2020",Declined,3,CSE,,3, 
SNP036043618,"Thursday, 9 July 2020",Settled,9,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP03628891823,"Tuesday, 2 March 2021",Settled,7,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",4, 
SNP037102453972,"Wednesday, 23 September 2020",Settled,9,OOO,"Fringilla eleifend libero fames neque vestibulum bibendum diam ut libero lorem, viverra egestas elementum varius cubilia conubia et diam himenaeos, urna leo odio nisi consequat vestibulum leo iaculis nunc",3, 
SNP038035758,"Friday, 8 May 2020",Declined,4,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP038115282208,"Saturday, 13 June 2020",Settled,6,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP04028806247,"Friday, 29 May 2020",Declined,1,CPF,,4, 
SNP041115259610,"Thursday, 30 April 2020",Settled,9,CPT,,4, 
SNP041129606933,"Thursday, 11 June 2020",Settled,9,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP041144018451,"Wednesday, 3 March 2021",Settled,6,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",4, 
SNP0416433638,"Tuesday, 20 April 2021",Settled,7,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP04181023942,"Saturday, 10 October 2020",Settled,6,CPF,,3, 
SNP042045904,"Saturday, 19 December 2020",Settled,6,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP042058110,"Wednesday, 15 July 2020",Declined,2,CPF,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP042061190,"Monday, 21 December 2020",Settled,6,CPF,,4, 
SNP042070445,"Friday, 18 December 2020",Settled,5,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP042070915,"Saturday, 30 January 2021",Settled,9,CPT,,4, 
SNP04210883508,"Saturday, 20 March 2021",Declined,3,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP04240524874,"Wednesday, 15 April 2020",Settled,5,CPF,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP04256002377,"Thursday, 25 March 2021",Settled,9,CPF,,4, 
SNP04288244654,"Saturday, 12 December 2020",Settled,9,COT,,3, 
SNP0432419885,"Sunday, 1 November 2020",Settled,9,COT,,3, 
SNP0435436112,"Monday, 15 March 2021",Declined,7,COT,,4, 
SNP04433606532,"Monday, 28 December 2020",Settled,5,COT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP04443246284,"Friday, 13 November 2020",Declined,3,COT,,3, 
SNP045013442,"Monday, 21 September 2020",Settled,9,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP045016288,"Wednesday, 7 October 2020",Settled,6,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP045179274311,"Saturday, 27 June 2020",Settled,9,COT,,3, 
